date,district_ID,governorate_ID,governorate_name,district_name,price_petrol_normalised,price_diesel_normalised,price_bottled_water_normalised,price_treated_water_normalised,price_soap_normalised,price_laundry_powder_normalised,price_sanitary_napkins_normalised,cost_cubic_meter,exchange_rate
1/12/2018,YE1102,YE11,Ibb,Yarim,435,450,100,140,150,70,450,2000,520
1/12/2018,YE1116,YE11,Ibb,Dhi As Sufal,400,425,120,140,150,90.90909091,350,3000,515
1/12/2018,YE1118,YE11,Ibb,Al Mashannah,435,475,120,200,150,70,370,2500,495
1/12/2018,YE1119,YE11,Ibb,Al Dhihar,435,447.5,100,200,130,72.72727273,350,2500,495
1/12/2018,YE1204,YE12,Abyan,Lawdar,275,400,100,600,200,150,700,3000,500
1/12/2018,YE1211,YE12,Abyan,Khanfir,325,350,130,100,145,80,525,NA,530
1/12/2018,YE1301,YE13,Amanat Al Asimah,Old City,NA,NA,120,120,130,90,500,NA,465
1/12/2018,YE1302,YE13,Amanat Al Asimah,Shuaub,395,500,100,80,120,100,575,1333,490
1/12/2018,YE1303,YE13,Amanat Al Asimah,Azzal,395,500,100,90,100,100,500,1333,490
1/12/2018,YE1304,YE13,Amanat Al Asimah,Assafiyah,395,NA,105,100,120,90,500,900,NA
1/12/2018,YE1305,YE13,Amanat Al Asimah,As Sabain,395,445,100,100,120,120,470,1154,510
1/12/2018,YE1306,YE13,Amanat Al Asimah,Al Wahdah,395,445,150,305,210,155,750,450,505
1/12/2018,YE1307,YE13,Amanat Al Asimah,At Tahrir,400,420,120,150,130,130,650,2000,510
1/12/2018,YE1309,YE13,Amanat Al Asimah,Aththaorah,395,445,100,300,150,100,550,1800,500
1/12/2018,YE1310,YE13,Amanat Al Asimah,Bani Al Harith,435,450,110,70,150,110,500,1050,480
1/12/2018,YE1413,YE14,Al Bayda,Rada,400,410,225,300,145,150,545,2000,509
1/12/2018,YE1506,YE15,Taizz,Dhubab,380,390,120,130,140,100,600,2500,530
1/12/2018,YE1507,YE15,Taizz,Mawza,380,390,130,160,140,100,600,2500,530
1/12/2018,YE1509,YE15,Taizz,Mashraa Wa Hadnan,400,400,120,100,111.1111111,81.81818182,500,966.5,490
1/12/2018,YE1513,YE15,Taizz,As Silw,NA,NA,NA,100,150,90.90909091,500,2153,500
1/12/2018,YE1514,YE15,Taizz,Ash Shamayatayn,400,400,120,NA,140,100,575,4000,525
1/12/2018,YE1515,YE15,Taizz,Al Waziiyah,375,350,100,100,93,90.90909091,550,3000,520
1/12/2018,YE1519,YE15,Taizz,Salh,400,400,125,140,125,95,550,2500,520
1/12/2018,YE1521,YE15,Taizz,Al Maafer,350,340,120,150,120,90.90909091,500,2000,490
1/12/2018,YE1522,YE15,Taizz,Al Mawasit,365,350,120,100,150,109.0909091,550,2000,490
1/12/2018,YE1610,YE16,Al Jawf,Bart Al Anan,435,475,100,300,105,105,800,1600,495
1/12/2018,YE1704,YE17,Hajjah,Abs,420,450,120,50,180,90,400,1500,510
1/12/2018,YE1712,YE17,Hajjah,Aslem,425,600,130,70,180,90,400,1200,490
1/12/2018,YE1713,YE17,Hajjah,Qafl Shamer,440,445,120,110,150,90,700,2700,470
1/12/2018,YE1715,YE17,Hajjah,Al Mahabishah,450,445,150,120,100,100,700,2900,470
1/12/2018,YE1722,YE17,Hajjah,Kuaydinah,440,475,120,100,125,109.0909091,575,2625,500
1/12/2018,YE1724,YE17,Hajjah,Bani Qais,435,475,120,237.5,120,181.8181818,NA,1500,505
1/12/2018,YE1726,YE17,Hajjah,Najrah,435,480,120,NA,130,181.8181818,700,1500,505
1/12/2018,YE1801,YE18,Al Hudaydah,Az Zuhrah,425,600,130,70,180,90,400,1500,490
1/12/2018,YE1802,YE18,Al Hudaydah,Alluheyah,430,430,150,100,130,120,500,2000,500
1/12/2018,YE1806,YE18,Al Hudaydah,Al Qanawis,445,430,150,100,150,140,500,2000,500
1/12/2018,YE1807,YE18,Al Hudaydah,Az Zaydiyah,435,475,150,125,130,100,400,1500,525
1/12/2018,YE1810,YE18,Al Hudaydah,Bajil,435,475,150,67.5,130,122.7272728,500,500,525
1/12/2018,YE1820,YE18,Al Hudaydah,Al Khawkhah,360,360,150,80,120,120,406.25,2000,500
1/12/2018,YE1824,YE18,Al Hudaydah,Zabid,417.5,410,120,120,120,109.0909091,350,6000,490
1/12/2018,YE2007,YE20,Dhamar,Wusab As Safil,439.95,485,120,400,110,130,650,4500,520
1/12/2018,YE2008,YE20,Dhamar,Dhamar City,395,445,100,500,120,100,490,1500,500
1/12/2018,YE2203,YE22,Sa'ada,Monabbih,500,550,150,NA,170,200,600,3000,500
1/12/2018,YE2204,YE22,Sa'ada,Ghamr,600,570,150,NA,150,140,700,2000,500
1/12/2018,YE2205,YE22,Sa'ada,Razih,500,500,100,NA,150,150,650,1200,500
1/12/2018,YE2209,YE22,Sa'ada,Saqayn,510,550,170,55,160,120,565,1350,490
1/12/2018,YE2211,YE22,Sa'ada,Sahar,435,502.5,130,80,95,90,NA,2000,505
1/12/2018,YE2215,YE22,Sa'ada,Saadah,435,530,120,75,100,NA,NA,2000,500
1/12/2018,YE2301,YE23,Sana'a,Hamdan,415,466,100,50,145,100,500,900,485
1/12/2018,YE2302,YE23,Sana'a,Arhab,395,450,100,60,145,100,500,1500,505
1/12/2018,YE2303,YE23,Sana'a,Nihm,395,475,120,NA,140,120,550,1600,NA
1/12/2018,YE2304,YE23,Sana'a,Bani Hushaysh,417.5,475,100,60,145,105,510,1125,485
1/12/2018,YE2305,YE23,Sana'a,Sanhan,342.5,447.5,122.5,100,130,120,550,1275,512
1/12/2018,YE2307,YE23,Sana'a,Bani Matar,375,450,125,100,120,125,550,1300,507.5
1/12/2018,YE2312,YE23,Sana'a,Khwlan,395,445,100,NA,150,100,570,2000,500
1/12/2018,YE2316,YE23,Sana'a,Jihanah,395,445,100,100,180,130,470,1166,510
1/12/2018,YE2404,YE24,Aden,Al Buraiqeh,282.5,NA,150,150,150,136.3636364,550,1000,480
1/12/2018,YE2408,YE24,Aden,Khur Maksar,285,NA,130,72.5,130,136.3636364,550,5000,480
1/12/2018,YE2508,YE25,Lahj,Al Milah,NA,320,150,NA,120,63.63636364,500,1500,510
1/12/2018,YE2515,YE25,Lahj,Tuban,285,285,120,150,130,102.2727273,650,200,490
1/12/2018,YE2915,YE29,Amran,Amran,435,475,105,250,120,90.90909091,525,1000,505
1/12/2018,YE2918,YE29,Amran,Iyal Surayh,435,475,115,250,120,90.90909091,575,1200,500
1/12/2018,YE3003,YE30,Al Dhale'e,Qaatabah,NA,NA,NA,160,150,90.90909091,500,2000,450
1/12/2018,YE3006,YE30,Al Dhale'e,Ad Dhalee,400,400,NA,100,155,95.45454546,500,2500,475
1/12/2018,YE3201,YE32,Socotra,Hidaybu,200,310,140,NA,145,115,600,1200,510
1/1/2019,YE1102,YE11,Ibb,Yarim,410,410,100,170,130,100,450,2000,563
1/1/2019,YE1116,YE11,Ibb,Dhi As Sufal,340,340,100,100,100,100,400,2500,545
1/1/2019,YE1118,YE11,Ibb,Al Mashannah,390,390,120,200,130,80,450,3000,545
1/1/2019,YE1119,YE11,Ibb,Al Dhihar,400,400,120,200,130,100,500,2300,535
1/1/2019,YE1211,YE12,Abyan,Khanfir,310,310,120,100,120,80,500,NA,555
1/1/2019,YE1301,YE13,Amanat Al Asimah,Old City,426,426,100,120,84.16,105,600,NA,NA
1/1/2019,YE1302,YE13,Amanat Al Asimah,Shu'aub,425,425,100,95,76.8,100,575,1333,545
1/1/2019,YE1303,YE13,Amanat Al Asimah,Az'zal,430,430,100,120,89.6,90,550,1800,NA
1/1/2019,YE1304,YE13,Amanat Al Asimah,Assafi'yah,425,425,100,95,76.8,100,550,1333,545
1/1/2019,YE1306,YE13,Amanat Al Asimah,Al Wahdah,410,410,100,450,132.7058824,90,700,794,560
1/1/2019,YE1307,YE13,Amanat Al Asimah,At Tahrir,410,410,100,460,188.2352941,120,750,363.5,550
1/1/2019,YE1308,YE13,Amanat Al Asimah,Ma'ain,430,430,100,150,92.8,120,550,500,540
1/1/2019,YE1309,YE13,Amanat Al Asimah,Ath'thaorah,410,410,100,250,160,100,450,1800,550
1/1/2019,YE1310,YE13,Amanat Al Asimah,Bani Al Harith,410,410,100,70,160,100,500,1050,542
1/1/2019,YE1502,YE15,Taizz,Shara'b As Salam,340,340,130,100,110,104.5454546,450,5000,550
1/1/2019,YE1506,YE15,Taizz,Dhubab,350,350,120,150,112,100,600,2500,560
1/1/2019,YE1509,YE15,Taizz,Mashra'a Wa Hadnan,325,325,150,110,102.7450981,100,500,4500,543.5
1/1/2019,YE1513,YE15,Taizz,As Silw,340,340,120,100,170.6666667,80,400,2675,550
1/1/2019,YE1514,YE15,Taizz,Ash Shamayatayn,475,475,135,170,120,130,700,NA,580
1/1/2019,YE1515,YE15,Taizz,Al Wazi'iyah,392.5,392.5,120,125,105.3333334,134.5454546,512.5,3000,548
1/1/2019,YE1518,YE15,Taizz,Al Qahirah,350,350,100,120,80,80,620,6500,580
1/1/2019,YE1519,YE15,Taizz,Salh,350,350,100,110,80,100,600,6500,582.5
1/1/2019,YE1521,YE15,Taizz,Al Ma'afer,325,325,150,150,171.4285714,90.90909091,700,1100,535
1/1/2019,YE1522,YE15,Taizz,Al Mawasit,340,340,135,100,154.2857143,90.90909091,625,3000,580
1/1/2019,YE1610,YE16,Al Jawf,Bart Al Anan,400,400,100,305,103,110,800,1000,560
1/1/2019,YE1704,YE17,Hajjah,Abs,430,430,120,50,125.3333334,90,425,1250,515
1/1/2019,YE1712,YE17,Hajjah,Aslem,410,410,120,50,80,80,450,1000,530
1/1/2019,YE1713,YE17,Hajjah,Qafl Shamer,420,420,100,150,128,63.63636364,750,3300,520
1/1/2019,YE1715,YE17,Hajjah,Al Mahabishah,410,410,100,120,128,71.42857143,600,6000,520
1/1/2019,YE1722,YE17,Hajjah,Ku'aydinah,420,430,120,100,137.1428571,90.90909091,550,2000,515
1/1/2019,YE1724,YE17,Hajjah,Bani Qa'is,410,410,120,NA,171.4285714,90.90909091,400,2000,530
1/1/2019,YE1726,YE17,Hajjah,Najrah,410,410,120,NA,137.1428571,90.90909091,500,1000,530
1/1/2019,YE1801,YE18,Al Hudaydah,Az Zuhrah,450,450,120,50,170.6666667,100,400,1500,520
1/1/2019,YE1802,YE18,Al Hudaydah,Alluheyah,460,460,120,150,149.3333333,110,650,2400,530
1/1/2019,YE1806,YE18,Al Hudaydah,Al Qanawis,420,420,120,150,128,90.90909091,600,2200,530
1/1/2019,YE1807,YE18,Al Hudaydah,Az Zaydiyah,410,410,130,250,171.4285714,109.0909091,400,1000,535
1/1/2019,YE1810,YE18,Al Hudaydah,Bajil,410,410,150,80,160,109.0909091,500,600,515
1/1/2019,YE1813,YE18,Al Hudaydah,Al Marawi'ah,420,420,100,100,80,100,600,1200,560
1/1/2019,YE1817,YE18,Al Hudaydah,Bayt Al Faqiah,420,420,170,150,137.1428571,109.0909091,600,2300,535
1/1/2019,YE1819,YE18,Al Hudaydah,Hays,340,340,150,125,128,109.0909091,300,1500,557
1/1/2019,YE1820,YE18,Al Hudaydah,Al Khawkhah,330,330,150,100,138.6666667,110,350,NA,528
1/1/2019,YE1824,YE18,Al Hudaydah,Zabid,400,410,150,NA,112,130,3500,NA,570
1/1/2019,YE1826,YE18,Al Hudaydah,At Tuhayat,350,350,150,NA,138.6666667,80,325,NA,530
1/1/2019,YE2007,YE20,Dhamar,Wusab As Safil,420,420,120,320,120,120,530,3000,NA
1/1/2019,YE2008,YE20,Dhamar,Dhamar City,410,410,100,475,160,80,500,1500,550
1/1/2019,YE2113,YE21,Shabwah,Ataq,315,315,100,100,130,136.3636364,550,1420,551
1/1/2019,YE2114,YE21,Shabwah,Habban,275,275,100,NA,130,120,550,2900,570
1/1/2019,YE2209,YE22,Sa'ada,Saqayn,450,450,170,150,120,150,450,6500,540
1/1/2019,YE2211,YE22,Sa'ada,Sahar,415,415,100,300,110,105,925,950,570
1/1/2019,YE2215,YE22,Sa'ada,Sa'adah,415,415,100,300,100,100,900,900,560
1/1/2019,YE2301,YE23,Sana'a,Hamdan,420,420,100,55,160,100,500,800,550
1/1/2019,YE2302,YE23,Sana'a,Arhab,410,410,100,80,160,110,500,1350,547.5
1/1/2019,YE2303,YE23,Sana'a,Nihm,450,450,100,NA,160,120,500,1400,NA
1/1/2019,YE2304,YE23,Sana'a,Bani Hushaysh,410,410,105,70,154.6666667,110,500,1150,566.5
1/1/2019,YE2312,YE23,Sana'a,Khwlan,410,410,100,NA,160,80,500,2000,560
1/1/2019,YE2404,YE24,Aden,Al Buraiqeh,292.5,310,135,150,171.4285714,122.7272728,500,2125,530
1/1/2019,YE2408,YE24,Aden,Khur Maksar,275,NA,150,65,137.1428571,122.7272728,525,5000,525
1/1/2019,YE2508,YE25,Lahj,Al Milah,310,310,150,NA,171.4285714,63.63636364,600,370,532
1/1/2019,YE2515,YE25,Lahj,Tuban,305,305,120,300,165.7142857,45.45454545,550,250,530
1/1/2019,YE2912,YE29,Amran,Jabal Iyal Yazid,410,410,115,500,137.1428571,90.90909091,575,1000,550
1/1/2019,YE2915,YE29,Amran,Amran,410,410,100,300,137.1428571,90.90909091,500,900,550
1/1/2019,YE3003,YE30,Al Dhale'e,Qa'atabah,300,300,100,100,230.4,80,600,2500,533
1/1/2019,YE3006,YE30,Al Dhale'e,Ad Dhale'e,300,300,95,97.5,217.2,76.36363637,500,2250,530
1/1/2019,YE3201,YE32,Socotra,Hidaybu,300,300,100,120,96,110,600,1200,520
