"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE1303","Yemen","YE","YE13","Amanat Al Asimah","Az'zal",365,430,100,80,100,100,575,1333,1050,2000,1000,4198.95,8248.95
"YE1306","Yemen","YE","YE13","Amanat Al Asimah","Al Wahdah",365,430,100,80,100,100,550,1500,1050,2000,1000,4198.95,8248.95
"YE1309","Yemen","YE","YE13","Amanat Al Asimah","Ath'thaorah",365,430,100,300,150,100,480,1800,1575,2000,960,5670,10205
"YE1310","Yemen","YE","YE13","Amanat Al Asimah","Bani Al Harith",NA,430,100,70,150,110,500,1150,1575,2200,1000,3622.5,8397.5
"YE1413","Yemen","YE","YE14","Al Bayda","Rada'",750,700,120,100,130,150,630,4500,1365,3000,1260,14175,19800
"YE1505","Yemen","YE","YE15","Taizz","Al  Mukha",380,380,102.5,120,115.5,100,356.5,NA,1212.75,2000,880,6300,10392.75
"YE1508","Yemen","YE","YE15","Taizz","Jabal Habashy",400,395,130,100,150,73,469,1683,1575,1460,1000,6300,10335
"YE1512","Yemen","YE","YE15","Taizz","Dimnat Khadir",425,430,125,100,186,120,550,2000,1953,2400,1100,6300,11753
"YE1513","Yemen","YE","YE15","Taizz","As Silw",500,500,150,NA,180,150,700,NA,1890,3000,1400,6300,12590
"YE1514","Yemen","YE","YE15","Taizz","Ash Shamayatayn",390,390,100,100,105,67,437.5,3500,1102.5,1340,1000,6300,9742.5
"YE1520","Yemen","YE","YE15","Taizz","At Ta'iziyah",425,430,130,100,170,130,550,2000,1785,2600,1100,6300,11785
"YE1521","Yemen","YE","YE15","Taizz","Al Ma'afer",400,400,120,100,130,100,550,2000,1575,2220,1000,6300,11095
"YE1522","Yemen","YE","YE15","Taizz","Al Mawasit",425,415,120,100,120,110,500,1600,1575,2220,1000,6300,11095
"YE1713","Yemen","YE","YE17","Hajjah","Qafl Shamer",650,440,100,125,130,86,550,3000,1365,1720,1100,9450,13635
"YE1715","Yemen","YE","YE17","Hajjah","Al Mahabishah",750,440,120,175,150,100,600,7000,1575,2000,1200,22050,26825
"YE1724","Yemen","YE","YE17","Hajjah","Bani Qa'is",NA,NA,125,NA,150,120,500,3000,1575,2000,1050,9450,14075
"YE1726","Yemen","YE","YE17","Hajjah","Najrah",365,NA,120,NA,147.5,100,500,NA,1575,2000,1025,9450,14050
"YE1802","Yemen","YE","YE18","Al Hudaydah","Alluheyah",660,660,120,150,150,100,550,4000,1575,2000,1100,12600,17275
"YE1806","Yemen","YE","YE18","Al Hudaydah","Al Qanawis",430,430,120,150,140,100,550,2500,1470,2000,1100,7875,12445
"YE1807","Yemen","YE","YE18","Al Hudaydah","Az Zaydiyah",NA,NA,130,120,130,150,350,1250,1365,2400,740,7087.5,11592.5
"YE1810","Yemen","YE","YE18","Al Hudaydah","Bajil",NA,NA,120,60,100,80,350,850,1365,2400,740,7087.5,11592.5
"YE1817","Yemen","YE","YE18","Al Hudaydah","Bayt Al Faqiah",NA,NA,140,100,120,75,350,1750,1365,2400,740,7087.5,11592.5
"YE1820","Yemen","YE","YE18","Al Hudaydah","Al Khawkhah",390,390,110,100,111,100,340,2000,1165.5,2000,680,6300,10145.5
"YE1824","Yemen","YE","YE18","Al Hudaydah","Zabid",NA,NA,150,NA,140,140,380,NA,1470,2800,760,7087.5,12117.5
"YE2007","Yemen","YE","YE20","Dhamar","Wusab As Safil",875,938,140,400,120,140,750,3500,1260,2800,1500,11025,16585
"YE2113","Yemen","YE","YE21","Shabwah","Ataq",360,365,100,100,100,120,500,960,1050,2400,1000,3024,7474
"YE2114","Yemen","YE","YE21","Shabwah","Habban",350,350,100,100,140,120,500,3000,1470,2400,1000,9450,14320
"YE2203","Yemen","YE","YE22","Sa'ada","Monabbih",400,400,150,NA,170,150,700,500,1785,3000,1400,1575,7760
"YE2204","Yemen","YE","YE22","Sa'ada","Ghamr",490,400,200,NA,100,190,700,1200,1050,3800,1400,3780,10030
"YE2209","Yemen","YE","YE22","Sa'ada","Saqayn",650,600,140,100,100,150,570,3500,1050,3000,1140,11025,16215
"YE2301","Yemen","YE","YE23","Sana'a","Hamdan",365,430,100,60,150,100,500,950,1575,2000,1000,2992.5,7567.5
"YE2302","Yemen","YE","YE23","Sana'a","Arhab",365,430,100,70,150,100,500,1400,1575,2000,1000,4410,8985
"YE2303","Yemen","YE","YE23","Sana'a","Nihm",NA,450,100,NA,150,110,500,1500,1575,2200,1000,4725,9500
"YE2304","Yemen","YE","YE23","Sana'a","Bani Hushaysh",365,430,100,70,150,100,500,1125,1575,2000,1000,3543.75,8118.75
"YE2305","Yemen","YE","YE23","Sana'a","Sanhan",850,750,120,100,120,150,600,4500,1260,3000,1200,14175,19635
"YE2307","Yemen","YE","YE23","Sana'a","Bani Matar",700,600,130,100,100,150,580,4200,1050,3000,1160,13230,18440
"YE2312","Yemen","YE","YE23","Sana'a","Khwlan",365,430,100,NA,150,100,500,2000,1575,2000,1000,6300,10875
"YE2404","Yemen","YE","YE24","Aden","Al Buraiqeh",315,365,150,175,150,100,600,3250,1312.5,1750,950,11025,15037.5
"YE2408","Yemen","YE","YE24","Aden","Khur Maksar",315,NA,125,100,120,75,425,5000,1312.5,1750,950,11025,15037.5
"YE2508","Yemen","YE","YE25","Lahj","Al Milah",NA,350,150,NA,150,150,500,1500,1050,2000,1000,1575,5625
"YE2515","Yemen","YE","YE25","Lahj","Tuban",315,370,150,130,95,100,550,500,1050,2000,1000,1575,5625
"YE2912","Yemen","YE","YE29","Amran","Jabal Iyal Yazid",365,430,110,450,150,109,833,1200,1575,2000,1666,3307.5,8548.5
"YE2915","Yemen","YE","YE29","Amran","Amran",365,430,110,300,150,91,791.5,900,1575,2000,1666,3307.5,8548.5
"YE3201","Yemen","YE","YE32","Socotra","Hidaybu",235,235,130,NA,150,130,650,800,1575,2600,1300,2520,7995
