"AllConstraints","dmg.road","dmg.electrical","dmg.water","dmg.communication","dmg.other"
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"electrical",FALSE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water communication",TRUE,TRUE,TRUE,TRUE,FALSE
"road electrical water communication",TRUE,TRUE,TRUE,TRUE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water communication",TRUE,TRUE,TRUE,TRUE,FALSE
"communication",FALSE,FALSE,FALSE,TRUE,FALSE
"communication",FALSE,FALSE,FALSE,TRUE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"electrical",FALSE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical communication",TRUE,TRUE,FALSE,TRUE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical communication",TRUE,TRUE,FALSE,TRUE,FALSE
"road electrical communication",TRUE,TRUE,FALSE,TRUE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"electrical",FALSE,TRUE,FALSE,FALSE,FALSE
"water",FALSE,FALSE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water communication",TRUE,TRUE,TRUE,TRUE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water communication",TRUE,TRUE,TRUE,TRUE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water communication",TRUE,TRUE,TRUE,TRUE,FALSE
"road electrical water communication",TRUE,TRUE,TRUE,TRUE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical water communication",TRUE,TRUE,TRUE,TRUE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"road electrical water",TRUE,TRUE,TRUE,FALSE,FALSE
"communication",FALSE,FALSE,FALSE,TRUE,FALSE
"communication",FALSE,FALSE,FALSE,TRUE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"electrical",FALSE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"electrical",FALSE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"road electrical",TRUE,TRUE,FALSE,FALSE,FALSE
"NA",FALSE,FALSE,FALSE,FALSE,FALSE
